n,n_pos,n_neg,mcc,balanced_acc,f1,auc_roc,pr_auc,gmean,model,total_predictions
863,142,721,0.6046700822731068,0.8410218593112071,0.6706231454005934,0.9094469731007402,0.7187746943872257,0.8398038209591823,RandomForest,863
863,142,721,0.49369478078255913,0.7799369029712253,0.5823529411764706,0.8468578461057608,0.49705698461414816,0.7755342548701746,LightGBM,863
863,142,721,0.5006496983796419,0.774867652517044,0.5882352941176471,0.8868941806176868,0.6659089563104308,0.7676033487790594,XGBoost,863
863,142,721,0.46475957398903234,0.761637787892403,0.5595238095238095,0.8876462659451856,0.6868031913105574,0.75508861531581,CatBoost,863
