counter | prevPath | prevStartLine | prevEndLine | changeType | currPath | currStartLine | currEndLine | offsetStart | offsetEnd
1 | Revision_476/jscript.c | 2 | 2 | c | Revision_477/jscript.c | 2 | 2 | 0 | 0
2 | Revision_476/jscript.c | 152 | 152 | a | Revision_477/jscript.c | 153 | 153 | 1 | 1
3 | Revision_476/jscript.c | 289 | 289 | d | Revision_477/jscript.c | 289 | 289 | 0 | 0
4 | Revision_476/jscript.c | 316 | 316 | a | Revision_477/jscript.c | 317 | 325 | 1 | 9
5 | Revision_476/jscript.c | 329 | 329 | d | Revision_477/jscript.c | 337 | 337 | 8 | 8
6 | Revision_476/jscript.c | 363 | 363 | c | Revision_477/jscript.c | 371 | 371 | 8 | 8
7 | Revision_476/jscript.c | 383 | 383 | c | Revision_477/jscript.c | 391 | 391 | 8 | 8
8 | Revision_476/jscript.c | 410 | 418 | d | Revision_477/jscript.c | 417 | 417 | 7 | -1
9 | Revision_476/jscript.c | 462 | 462 | c | Revision_477/jscript.c | 461 | 461 | -1 | -1
10 | Revision_476/jscript.c | 500 | 500 | c | Revision_477/jscript.c | 499 | 499 | -1 | -1
11 | Revision_476/jscript.c | 530 | 531 | c | Revision_477/jscript.c | 529 | 532 | -1 | 1
12 | Revision_476/jscript.c | 537 | 540 | c | Revision_477/jscript.c | 538 | 543 | 1 | 3
13 | Revision_476/jscript.c | 576 | 577 | c | Revision_477/jscript.c | 579 | 582 | 3 | 5
14 | Revision_476/jscript.c | 583 | 586 | c | Revision_477/jscript.c | 588 | 593 | 5 | 7
15 | Revision_476/jscript.c | 600 | 603 | c | Revision_477/jscript.c | 607 | 612 | 7 | 9
16 | Revision_476/jscript.c | 619 | 620 | c | Revision_477/jscript.c | 628 | 631 | 9 | 11
17 | Revision_476/jscript.c | 656 | 657 | c | Revision_477/jscript.c | 667 | 670 | 11 | 13
18 | Revision_476/jscript.c | 663 | 666 | c | Revision_477/jscript.c | 676 | 681 | 13 | 15
19 | Revision_476/jscript.c | 686 | 686 | c | Revision_477/jscript.c | 701 | 701 | 15 | 15
20 | Revision_476/jscript.c | 753 | 753 | c | Revision_477/jscript.c | 768 | 768 | 15 | 15
21 | Revision_476/jscript.c | 756 | 756 | c | Revision_477/jscript.c | 771 | 771 | 15 | 15
22 | Revision_476/jscript.c | 783 | 783 | c | Revision_477/jscript.c | 798 | 798 | 15 | 15
23 | Revision_476/jscript.c | 918 | 918 | c | Revision_477/jscript.c | 933 | 933 | 15 | 15
24 | Revision_476/jscript.c | 937 | 937 | c | Revision_477/jscript.c | 952 | 952 | 15 | 15
25 | Revision_476/jscript.c | 990 | 993 | c | Revision_477/jscript.c | 1005 | 1010 | 15 | 17
26 | Revision_476/jscript.c | 1016 | 1017 | c | Revision_477/jscript.c | 1033 | 1036 | 17 | 19
27 | Revision_476/jscript.c | 1022 | 1025 | c | Revision_477/jscript.c | 1041 | 1046 | 19 | 21
28 | Revision_476/sql.c | 2 | 2 | c | Revision_477/sql.c | 2 | 2 | 0 | 0
29 | Revision_476/sql.c | 428 | 428 | d | Revision_477/sql.c | 427 | 427 | -1 | -1
30 | Revision_476/sql.c | 476 | 476 | d | Revision_477/sql.c | 474 | 474 | -2 | -2
31 | Revision_476/sql.c | 548 | 548 | c | Revision_477/sql.c | 546 | 546 | -2 | -2
32 | Revision_476/sql.c | 568 | 568 | c | Revision_477/sql.c | 566 | 566 | -2 | -2
33 | Revision_476/sql.c | 666 | 666 | d | Revision_477/sql.c | 663 | 663 | -3 | -3
34 | Revision_476/sql.c | 681 | 681 | c | Revision_477/sql.c | 678 | 678 | -3 | -3
35 | Revision_476/sql.c | 746 | 746 | c | Revision_477/sql.c | 743 | 743 | -3 | -3
36 | Revision_476/sql.c | 748 | 749 | c | Revision_477/sql.c | 745 | 748 | -3 | -1
37 | Revision_476/sql.c | 753 | 753 | d | Revision_477/sql.c | 751 | 751 | -2 | -2
38 | Revision_476/sql.c | 763 | 763 | d | Revision_477/sql.c | 760 | 760 | -3 | -3
39 | Revision_476/sql.c | 789 | 790 | c | Revision_477/sql.c | 786 | 789 | -3 | -1
40 | Revision_476/sql.c | 847 | 847 | c | Revision_477/sql.c | 846 | 846 | -1 | -1
41 | Revision_476/sql.c | 860 | 860 | c | Revision_477/sql.c | 859 | 859 | -1 | -1
42 | Revision_476/sql.c | 900 | 900 | c | Revision_477/sql.c | 899 | 899 | -1 | -1
43 | Revision_476/sql.c | 1140 | 1142 | c | Revision_477/sql.c | 1139 | 1143 | -1 | 1
44 | Revision_476/sql.c | 1204 | 1204 | c | Revision_477/sql.c | 1205 | 1205 | 1 | 1
45 | Revision_476/sql.c | 1381 | 1381 | c | Revision_477/sql.c | 1382 | 1382 | 1 | 1
46 | Revision_476/sql.c | 1395 | 1395 | d | Revision_477/sql.c | 1395 | 1395 | 0 | 0
