counter | prevPath | prevStartLine | prevEndLine | changeType | currPath | currStartLine | currEndLine | offsetStart | offsetEnd
1 | Revision_342/readtags.c | 2 | 2 | c | Revision_343/readtags.c | 2 | 2 | 0 | 0
2 | Revision_342/readtags.c | 14 | 15 | d | Revision_343/readtags.c | 13 | 13 | -1 | -2
3 | Revision_342/readtags.c | 18 | 18 | a | Revision_343/readtags.c | 17 | 17 | -1 | -1
4 | Revision_342/readtags.c | 20 | 23 | c | Revision_343/readtags.c | 19 | 20 | -1 | -3
5 | Revision_342/readtags.c | 800 | 800 | c | Revision_343/readtags.c | 797 | 797 | -3 | -3
6 | Revision_342/readtags.c | 804 | 804 | c | Revision_343/readtags.c | 801 | 801 | -3 | -3
7 | Revision_342/readtags.c | 890 | 890 | c | Revision_343/readtags.c | 887 | 887 | -3 | -3
8 | Revision_342/readtags.c | 923 | 923 | c | Revision_343/readtags.c | 920 | 920 | -3 | -3
9 | Revision_342/readtags.c | 936 | 936 | c | Revision_343/readtags.c | 933 | 933 | -3 | -3
10 | Revision_342/readtags.c | 941 | 941 | c | Revision_343/readtags.c | 938 | 938 | -3 | -3
11 | Revision_342/readtags.c | 951 | 951 | c | Revision_343/readtags.c | 948 | 948 | -3 | -3
