Revision | filePath | changeType | StartLine | EndLine | Nlines | cloneId | classId | globalCloneId | Similarity
806 | Revision_806/ant.c | U | 33 | 40 | 8 | 87299 | 1 | 264 | 100
806 | Revision_806/yacc.c | U | 31 | 38 | 8 | 87300 | 1 | 55 | 100
806 | Revision_806/slang.c | U | 34 | 41 | 8 | 87301 | 1 | 54 | 100
806 | Revision_806/matlab.c | U | 35 | 42 | 8 | 87302 | 1 | 265 | 100
806 | Revision_806/args.c | U | 85 | 92 | 8 | 87303 | 2 | 1 | 100
806 | Revision_806/args.c | U | 160 | 167 | 8 | 87304 | 2 | 2 | 100
806 | Revision_806/asp.c | U | 72 | 91 | 15 | 87305 | 3 | 8 | 100
806 | Revision_806/asp.c | U | 95 | 114 | 15 | 87306 | 3 | 9 | 100
806 | Revision_806/asp.c | U | 118 | 163 | 40 | 87307 | 4 | 301 | 100
806 | Revision_806/asp.c | U | 165 | 210 | 40 | 87308 | 4 | 302 | 100
806 | Revision_806/asp.c | U | 125 | 137 | 12 | 87309 | 5 | 303 | 100
806 | Revision_806/asp.c | U | 139 | 151 | 12 | 87310 | 5 | 12 | 100
806 | Revision_806/asp.c | U | 172 | 184 | 12 | 87311 | 6 | 304 | 100
806 | Revision_806/asp.c | U | 186 | 198 | 12 | 87312 | 6 | 305 | 100
806 | Revision_806/asp.c | U | 214 | 230 | 14 | 87313 | 7 | 10 | 100
806 | Revision_806/asp.c | U | 272 | 287 | 14 | 87314 | 7 | 306 | 100
806 | Revision_806/asp.c | U | 234 | 249 | 14 | 87315 | 7 | 12 | 100
806 | Revision_806/asp.c | U | 291 | 306 | 14 | 87316 | 7 | 114 | 100
806 | Revision_806/asp.c | U | 253 | 268 | 14 | 87317 | 7 | 87 | 100
806 | Revision_806/asp.c | U | 317 | 325 | 9 | 87318 | 8 | 15 | 100
806 | Revision_806/ruby.c | U | 398 | 406 | 9 | 87319 | 8 | 116 | 100
806 | Revision_806/sml.c | U | 202 | 210 | 9 | 87320 | 8 | 88 | 100
806 | Revision_806/vim.c | U | 731 | 739 | 9 | 87321 | 8 | 343 | 100
806 | Revision_806/beta.c | U | 152 | 156 | 5 | 87322 | 9 | 18 | 100
806 | Revision_806/beta.c | U | 277 | 281 | 5 | 87323 | 9 | 19 | 100
806 | Revision_806/beta.c | U | 158 | 162 | 5 | 87324 | 9 | 20 | 100
806 | Revision_806/beta.c | U | 165 | 169 | 5 | 87325 | 10 | 21 | 100
806 | Revision_806/beta.c | U | 271 | 275 | 5 | 87326 | 10 | 22 | 100
806 | Revision_806/beta.c | U | 311 | 319 | 9 | 87327 | 11 | 23 | 100
806 | Revision_806/lua.c | U | 123 | 131 | 9 | 87328 | 11 | 65 | 100
806 | Revision_806/dosbatch.c | U | 33 | 40 | 8 | 87329 | 12 | 266 | 100
806 | Revision_806/html.c | U | 40 | 47 | 8 | 87330 | 12 | 267 | 100
806 | Revision_806/erlang.c | U | 58 | 62 | 5 | 87331 | 13 | 94 | 100
806 | Revision_806/sml.c | U | 84 | 88 | 5 | 87332 | 13 | 92 | 100
806 | Revision_806/python.c | U | 299 | 303 | 5 | 87333 | 13 | 91 | 100
806 | Revision_806/erlang.c | U | 66 | 75 | 9 | 87334 | 14 | 95 | 100
806 | Revision_806/python.c | U | 307 | 316 | 9 | 87335 | 14 | 96 | 100
806 | Revision_806/erlang.c | U | 108 | 113 | 6 | 87336 | 15 | 101 | 100
806 | Revision_806/erlang.c | U | 116 | 121 | 6 | 87337 | 15 | 102 | 100
806 | Revision_806/erlang.c | U | 179 | 187 | 9 | 87338 | 16 | 99 | 100
806 | Revision_806/tcl.c | U | 106 | 114 | 9 | 87339 | 16 | 100 | 100
806 | Revision_806/perl.c | U | 489 | 497 | 9 | 87340 | 16 | 6 | 100
806 | Revision_806/flex.c | U | 216 | 225 | 8 | 87341 | 17 | 204 | 100
806 | Revision_806/sql.c | U | 409 | 418 | 8 | 87342 | 17 | 123 | 100
806 | Revision_806/tex.c | U | 160 | 169 | 8 | 87343 | 17 | 268 | 100
806 | Revision_806/jscript.c | U | 182 | 191 | 8 | 87344 | 17 | 122 | 100
806 | Revision_806/flex.c | U | 245 | 249 | 5 | 87345 | 18 | 205 | 100
806 | Revision_806/jscript.c | U | 210 | 214 | 5 | 87346 | 18 | 125 | 100
806 | Revision_806/vhdl.c | U | 356 | 360 | 5 | 87347 | 18 | 181 | 100
806 | Revision_806/tex.c | U | 186 | 190 | 5 | 87348 | 18 | 271 | 100
806 | Revision_806/sql.c | U | 436 | 440 | 5 | 87349 | 18 | 126 | 100
806 | Revision_806/flex.c | U | 258 | 269 | 10 | 87350 | 19 | 206 | 100
806 | Revision_806/vhdl.c | U | 538 | 547 | 10 | 87351 | 19 | 180 | 100
806 | Revision_806/sql.c | U | 449 | 460 | 10 | 87352 | 19 | 130 | 100
806 | Revision_806/flex.c | U | 295 | 303 | 9 | 87353 | 20 | 207 | 100
806 | Revision_806/sql.c | U | 474 | 482 | 9 | 87354 | 20 | 138 | 100
806 | Revision_806/flex.c | U | 309 | 333 | 20 | 87355 | 21 | 208 | 100
806 | Revision_806/jscript.c | U | 265 | 289 | 20 | 87356 | 21 | 202 | 100
806 | Revision_806/jscript.c | U | 292 | 316 | 20 | 87357 | 21 | 133 | 100
806 | Revision_806/flex.c | U | 359 | 383 | 20 | 87358 | 21 | 209 | 100
806 | Revision_806/flex.c | U | 316 | 320 | 5 | 87359 | 22 | 210 | 100
806 | Revision_806/jscript.c | U | 1450 | 1454 | 5 | 87360 | 22 | 122 | 100
806 | Revision_806/flex.c | U | 1884 | 1888 | 5 | 87361 | 22 | 211 | 100
806 | Revision_806/flex.c | U | 343 | 347 | 5 | 87362 | 22 | 212 | 100
806 | Revision_806/jscript.c | U | 1533 | 1537 | 5 | 87363 | 22 | 203 | 100
806 | Revision_806/flex.c | U | 366 | 370 | 5 | 87364 | 22 | 213 | 100
806 | Revision_806/jscript.c | U | 299 | 303 | 5 | 87365 | 22 | 131 | 100
806 | Revision_806/jscript.c | U | 272 | 276 | 5 | 87366 | 22 | 131 | 100
806 | Revision_806/flex.c | U | 390 | 408 | 17 | 87367 | 23 | 214 | 100
806 | Revision_806/jscript.c | U | 323 | 342 | 17 | 87368 | 23 | 133 | 100
806 | Revision_806/vhdl.c | U | 368 | 386 | 17 | 87369 | 23 | 182 | 100
806 | Revision_806/flex.c | U | 414 | 425 | 12 | 87370 | 24 | 215 | 100
806 | Revision_806/jscript.c | U | 374 | 385 | 12 | 87371 | 24 | 135 | 100
806 | Revision_806/tex.c | U | 289 | 301 | 12 | 87372 | 24 | 275 | 100
806 | Revision_806/vhdl.c | U | 391 | 402 | 12 | 87373 | 24 | 183 | 100
806 | Revision_806/sql.c | U | 517 | 528 | 12 | 87374 | 24 | 136 | 100
806 | Revision_806/flex.c | U | 437 | 441 | 5 | 87375 | 25 | 216 | 100
806 | Revision_806/sql.c | U | 540 | 553 | 5 | 87376 | 25 | 136 | 100
806 | Revision_806/vhdl.c | U | 414 | 418 | 5 | 87377 | 25 | 184 | 100
806 | Revision_806/tex.c | U | 313 | 317 | 5 | 87378 | 25 | 276 | 100
806 | Revision_806/flex.c | U | 492 | 503 | 12 | 87379 | 26 | 219 | 100
806 | Revision_806/sql.c | U | 636 | 647 | 12 | 87380 | 26 | 110 | 100
806 | Revision_806/jscript.c | U | 467 | 478 | 12 | 87381 | 26 | 198 | 100
806 | Revision_806/flex.c | U | 599 | 606 | 8 | 87382 | 27 | 228 | 100
806 | Revision_806/flex.c | U | 664 | 671 | 8 | 87383 | 27 | 312 | 100
806 | Revision_806/flex.c | U | 652 | 659 | 8 | 87384 | 27 | 225 | 100
806 | Revision_806/flex.c | U | 638 | 645 | 8 | 87385 | 27 | 229 | 100
806 | Revision_806/flex.c | U | 703 | 710 | 8 | 87386 | 27 | 221 | 100
806 | Revision_806/flex.c | U | 610 | 629 | 18 | 87387 | 28 | 313 | 100
806 | Revision_806/flex.c | U | 675 | 694 | 18 | 87388 | 28 | 314 | 100
806 | Revision_806/flex.c | U | 623 | 628 | 6 | 87389 | 29 | 224 | 100
806 | Revision_806/flex.c | U | 696 | 701 | 6 | 87390 | 29 | 232 | 100
806 | Revision_806/flex.c | U | 631 | 636 | 6 | 87391 | 29 | 224 | 100
806 | Revision_806/flex.c | U | 688 | 693 | 6 | 87392 | 29 | 315 | 100
806 | Revision_806/flex.c | U | 734 | 743 | 10 | 87393 | 30 | 232 | 100
806 | Revision_806/vhdl.c | U | 467 | 476 | 10 | 87394 | 30 | 189 | 100
806 | Revision_806/tex.c | U | 342 | 351 | 10 | 87395 | 30 | 277 | 100
806 | Revision_806/jscript.c | U | 492 | 501 | 10 | 87396 | 30 | 198 | 100
