1 | 226 | Revision_226/cobol.c | 2 | c | 227 | Revision_227/cobol.c | 2 |  
2 | 226 | Revision_226/cobol.c | 17 | d | 227 | Revision_227/cobol.c | 16 |  
3 | 226 | Revision_226/cobol.c | 19,20 | d | 227 | Revision_227/cobol.c | 17 |  
4 | 226 | Revision_226/cobol.c | 23,33 | d | 227 | Revision_227/cobol.c | 19 |  
5 | 226 | Revision_226/cobol.c | 37,43 | c | 227 | Revision_227/cobol.c | 23 |  
6 | 226 | Revision_226/cobol.c | 45,68 | c | 227 | Revision_227/cobol.c | 25,36 |  
7 | 226 | Revision_226/cobol.c | 73 | c | 227 | Revision_227/cobol.c | 41,42 |  
8 | 226 | Revision_226/cobol.c | 75,76 | d | 227 | Revision_227/cobol.c | 43 |  
9 | 226 | Revision_226/cobol.c | 78 | c | 227 | Revision_227/cobol.c | 45,46 |  
