1 | 671 | Revision_671/python.c | 2 | c | 672 | Revision_672/python.c | 2 |  
2 | 671 | Revision_671/python.c | 29 | c | 672 | Revision_672/python.c | 29 |  
3 | 671 | Revision_671/python.c | 35 | c | 672 | Revision_672/python.c | 35,36 |  
4 | 671 | Revision_671/python.c | 145 | a | 672 | Revision_672/python.c | 147,160 |  
5 | 671 | Revision_671/python.c | 410 | a | 672 | Revision_672/python.c | 426,447 |  
6 | 671 | Revision_671/python.c | 411 | a | 672 | Revision_672/python.c | 449,465 |  
7 | 671 | Revision_671/python.c | 430 | c | 672 | Revision_672/python.c | 484 |  
8 | 671 | Revision_671/python.c | 437 | c | 672 | Revision_672/python.c | 491 |  
9 | 671 | Revision_671/python.c | 509 | a | 672 | Revision_672/python.c | 564,585 |  
