1 | 105 | Revision_105/routines.c | 2 | c | 106 | Revision_106/routines.c | 2 |  
2 | 105 | Revision_105/routines.c | 18 | c | 106 | Revision_106/routines.c | 18 |  
3 | 105 | Revision_105/routines.c | 25 | c | 106 | Revision_106/routines.c | 25 |  
4 | 105 | Revision_105/routines.c | 27 | c | 106 | Revision_106/routines.c | 27 |  
5 | 105 | Revision_105/routines.c | 30 | c | 106 | Revision_106/routines.c | 30 |  
6 | 105 | Revision_105/routines.c | 50 | c | 106 | Revision_106/routines.c | 50,58 |  
7 | 105 | Revision_105/routines.c | 65,83 | d | 106 | Revision_106/routines.c | 72 |  
8 | 105 | Revision_105/routines.c | 358 | c | 106 | Revision_106/routines.c | 347 |  
9 | 105 | Revision_105/routines.c | 360 | c | 106 | Revision_106/routines.c | 349 |  
