1 | 492 | Revision_492/perl.c | 2 | c | 493 | Revision_493/perl.c | 2 |  
2 | 492 | Revision_492/perl.c | 24 | a | 493 | Revision_493/perl.c | 25,27 |  
3 | 492 | Revision_492/perl.c | 33 | c | 493 | Revision_493/perl.c | 36,37 |  
4 | 492 | Revision_492/perl.c | 37,40 | c | 493 | Revision_493/perl.c | 41,45 |  
5 | 492 | Revision_492/perl.c | 80 | a | 493 | Revision_493/perl.c | 86,161 |  
6 | 492 | Revision_492/perl.c | 123 | a | 493 | Revision_493/perl.c | 205 |  
7 | 492 | Revision_492/perl.c | 179 | a | 493 | Revision_493/perl.c | 262 |  
8 | 492 | Revision_492/perl.c | 182 | a | 493 | Revision_493/perl.c | 266 |  
9 | 492 | Revision_492/perl.c | 199 | a | 493 | Revision_493/perl.c | 284,295 |  
