Revision,gcid1,gcid2,classid,co_change_count,gcid1_independent_change_count,gcid2_independent_change_count,same_file,same_author,same_method,similarity,clone_type,nlines1,nlines2,depth,class_size,is_spcp,weighted_coupling_strength,last_co_change_age,last_solo_change_age,coupling_trend,wcs_recent,solo_events_after_last_cochange,noc1,noc2,file_age1,file_age2,churn1,churn2,distinct_authors1,distinct_authors2,major_author_prop1,major_author_prop2,minor_author_count1,minor_author_count2,wies,will_independently_evolve
37,51,58,76,1,0,0,1,1,1,100,Type2,6,6,0,2,1,1.0000,0,-1,0.0000,1.0000,0,6,7,814,779,1158,1215,1,1,1.0000,1.0000,0,0,0.0000,0
39,51,58,76,2,0,0,1,1,1,100,Type2,6,6,0,2,1,1.0000,0,-1,0.0000,1.0000,0,6,7,814,779,1158,1215,1,1,1.0000,1.0000,0,0,0.0000,0
39,63,64,75,0,0,1,1,1,1,100,Type2,6,6,0,2,1,0.0000,-1,0,0.0000,0.0000,1,3,8,777,777,833,1007,1,1,1.0000,1.0000,0,0,1.0000,1
65,51,58,76,3,0,0,1,1,1,100,Type2,6,6,0,2,1,1.0000,0,-1,0.0000,1.0000,0,6,7,814,779,1158,1215,1,1,1.0000,1.0000,0,0,0.0000,0
65,63,64,75,0,0,2,1,1,1,100,Type2,6,6,0,2,1,0.0000,-1,0,0.0000,0.0000,3,3,8,777,777,833,1007,1,1,1.0000,1.0000,0,0,1.0000,1
96,8,9,3,1,0,0,1,1,1,100,Type2,15,15,0,5,1,1.0000,0,-1,1.0000,1.0000,0,2,2,814,814,174,174,1,1,1.0000,1.0000,0,0,0.0000,0
96,8,11,3,0,1,0,0,1,0,100,Type2,15,14,1,5,0,0.0000,-1,0,0.0000,0.0000,1,2,0,814,158,174,0,1,0,1.0000,0.0000,0,0,1.0000,1
96,8,13,3,0,1,0,0,1,0,100,Type2,15,14,1,5,0,0.0000,-1,0,0.0000,0.0000,1,2,0,814,158,174,0,1,0,1.0000,0.0000,0,0,1.0000,1
96,8,14,3,0,1,0,0,1,0,100,Type2,15,14,1,5,0,0.0000,-1,0,0.0000,0.0000,1,2,2,814,420,174,134,1,1,1.0000,1.0000,0,0,1.0000,1
96,9,11,3,0,1,0,0,1,0,100,Type2,15,14,1,5,0,0.0000,-1,0,0.0000,0.0000,1,2,0,814,158,174,0,1,0,1.0000,0.0000,0,0,1.0000,1
96,9,13,3,0,1,0,0,1,0,100,Type2,15,14,1,5,0,0.0000,-1,0,0.0000,0.0000,1,2,0,814,158,174,0,1,0,1.0000,0.0000,0,0,1.0000,1
96,9,14,3,0,1,0,0,1,0,100,Type2,15,14,1,5,0,0.0000,-1,0,0.0000,0.0000,1,2,2,814,420,174,134,1,1,1.0000,1.0000,0,0,1.0000,1
96,51,58,76,4,0,0,1,1,1,100,Type2,6,6,0,2,1,1.0000,0,-1,0.0000,1.0000,0,6,7,814,779,1158,1215,1,1,1.0000,1.0000,0,0,0.0000,0
96,56,57,34,0,0,1,1,1,0,100,Type2,8,8,0,7,0,0.0000,-1,0,0.0000,0.0000,1,0,1,414,414,0,7,0,1,0.0000,1.0000,0,0,1.0000,1
96,63,64,75,0,0,3,1,1,1,100,Type2,6,6,0,2,1,0.0000,-1,0,0.0000,0.0000,5,3,8,777,777,833,1007,1,1,1.0000,1.0000,0,0,1.0000,1
106,60,66,73,0,0,1,0,1,0,100,Type2,8,8,1,2,0,0.0000,-1,0,0.0000,0.0000,3,4,2,777,719,909,459,1,1,1.0000,1.0000,0,0,1.0000,1
106,62,67,74,0,0,1,0,1,0,100,Type2,8,8,1,2,0,0.0000,-1,0,0.0000,0.0000,4,5,4,777,719,923,523,1,1,1.0000,1.0000,0,0,1.0000,1
106,68,69,77,1,0,0,1,1,0,100,Type2,6,6,0,2,1,1.0000,0,-1,1.0000,1.0000,0,5,5,719,719,530,530,1,1,1.0000,1.0000,0,0,0.0000,0
106,70,71,78,1,0,0,1,1,0,100,Type2,8,8,0,2,1,1.0000,0,-1,1.0000,1.0000,0,2,3,719,719,459,514,1,1,1.0000,1.0000,0,0,0.0000,0
130,30,31,13,1,0,0,1,1,0,100,Type2,10,10,0,8,1,1.0000,0,-1,1.0000,1.0000,0,3,3,522,522,457,457,1,1,1.0000,1.0000,0,0,0.0000,0
139,62,67,74,0,0,2,0,1,0,100,Type2,8,8,1,2,0,0.0000,-1,0,0.0000,0.0000,5,5,4,777,719,923,523,1,1,1.0000,1.0000,0,0,1.0000,1
139,68,69,77,2,0,0,1,1,0,100,Type2,6,6,0,2,1,1.0000,0,-1,0.0000,1.0000,0,5,5,719,719,530,530,1,1,1.0000,1.0000,0,0,0.0000,0
139,70,71,78,1,0,1,1,1,0,100,Type2,8,8,0,2,1,0.2709,33,0,-1.0000,0.0000,1,2,3,719,719,459,514,1,1,1.0000,1.0000,0,0,0.7291,1
156,8,14,3,0,1,1,0,1,0,100,Type2,15,14,1,5,0,0.0000,-1,0,0.0000,0.0000,3,2,2,814,420,174,134,1,1,1.0000,1.0000,0,0,1.0000,1
156,9,14,3,0,1,1,0,1,0,100,Type2,15,14,1,5,0,0.0000,-1,0,0.0000,0.0000,3,2,2,814,420,174,134,1,1,1.0000,1.0000,0,0,1.0000,1
156,11,14,3,0,0,1,0,1,0,100,Type2,14,14,1,5,0,0.0000,-1,0,0.0000,0.0000,2,0,2,158,420,0,134,0,1,0.0000,1.0000,0,0,1.0000,1
156,13,14,3,0,0,1,0,1,0,100,Type2,14,14,1,5,0,0.0000,-1,0,0.0000,0.0000,2,0,2,158,420,0,134,0,1,0.0000,1.0000,0,0,1.0000,1
