Revision,gcid,classid,n_prior_changes,n_prior_co_changes,n_prior_independent,co_change_ratio,revs_since_last_change,revs_since_last_co_change,revs_since_last_independent,recent_co_ratio_last5,solo_events_since_last_co,nlines,similarity,file_age,change_proneness,stability_index,change_magnitude,avg_prior_change_magnitude,class_size,alive_peer_count,class_co_change_density,frac_peers_same_file,frac_peers_same_method,mean_peer_co_ratio,max_peer_co_ratio,min_peer_co_ratio,mean_peer_depth,ir_decay_h10,cs_decay_h10,ir_decay_h20,cs_decay_h20,ir_decay_h50,cs_decay_h50,coupling_trend,churn,distinct_authors,major_author_prop,label
789,14,4,9,3,5,0.3333,12,69,12,0.2,2,8,83,787,0.0114,1.3877,1.0,0.9753,42,34,0.9706,0.0294,0.0,0.1046,0.3333,0.0,0.97,0.9903,0.0097,0.9419,0.0581,0.8698,0.1302,-0.3,704,1,1.0,1
789,370,57,12,0,5,0.0,12,-1,12,0.0,5,7,80,263,0.0456,1.6357,0.6667,0.6945,71,58,0.8103,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,847,1,1.0,1
791,280,4,1,1,0,1.0,316,316,-1,1.0,0,5,75,330,0.003,1.1966,1.0,0.8,42,34,0.9706,0.0,0.0,0.0294,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,810,1,1.0,1
791,281,7,6,2,4,0.3333,28,205,28,0.2,4,7,83,330,0.0182,1.6011,1.25,1.1771,58,43,1.0,0.0233,0.0,0.0155,0.3333,0.0,0.98,1.0,0.0,0.9979,0.0021,0.9386,0.0614,-0.6667,1314,1,1.0,1
791,291,23,12,4,3,0.3333,132,157,132,0.4,2,5,75,330,0.0364,1.7247,1.0,0.7188,64,45,0.8,0.1778,0.0,0.037,0.6667,0.0,0.82,0.8462,0.1538,0.7141,0.2859,0.5915,0.4085,-0.6667,3055,1,1.0,0
791,301,28,1,1,0,1.0,316,316,-1,1.0,0,7,80,330,0.003,1.2275,0.7778,0.75,55,34,0.8235,0.1471,0.0,0.1471,1.0,0.0,0.85,0.0,0.0,0.0,1.0,0.0,1.0,0.0,810,1,1.0,1
791,307,30,19,11,1,0.5789,125,125,329,1.0,0,10,70,330,0.0576,1.7949,0.2727,0.2727,96,77,0.8961,0.2078,0.0,0.0684,0.5789,0.0,0.79,0.0,1.0,0.0002,0.9998,0.008,0.992,0.1111,3298,1,1.0,0
791,309,30,11,7,2,0.6364,28,125,28,0.8,1,10,70,330,0.0333,1.4691,0.8148,0.9077,96,77,0.8961,0.2078,0.0,0.059,0.8182,0.0,0.79,0.9951,0.0049,0.8565,0.1435,0.4223,0.5777,0.0333,1694,1,1.0,0
791,315,30,3,3,0,1.0,127,127,-1,1.0,0,17,83,330,0.0091,0.9157,1.3056,1.2165,96,77,0.8961,0.2078,0.0,0.1645,1.0,0.0,0.79,0.0,1.0,0.0,1.0,0.0,1.0,0.0,951,1,1.0,0
791,342,36,3,1,1,0.3333,28,321,28,0.3333,1,5,71,330,0.0091,1.1882,1.0,1.0,71,55,0.8182,0.1818,0.0,0.0061,0.3333,0.0,0.82,1.0,0.0,1.0,0.0,0.9915,0.0085,0.0,350,1,1.0,1
791,361,38,2,2,0,1.0,28,28,-1,1.0,0,5,75,321,0.0062,1.1614,0.4286,1.0,111,101,0.8911,0.2079,0.0,0.2277,1.0,0.0,0.79,0.0,1.0,0.0,1.0,0.0,1.0,0.0,876,1,1.0,0
791,398,35,3,1,1,0.3333,127,127,152,0.6667,0,16,78,157,0.0191,1.5355,0.92,0.6768,146,124,0.7823,0.1613,0.0081,0.0215,0.6667,0.0,0.84,0.0812,0.9188,0.1737,0.8263,0.2612,0.7388,0.0,126,1,1.0,0
793,280,4,2,1,1,0.5,2,318,2,0.5,1,5,75,332,0.006,1.2051,1.0,0.9,42,34,0.9706,0.0,0.0,0.0147,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.9876,0.0124,0.0,862,1,1.0,1
793,281,7,7,2,5,0.2857,2,207,2,0.0,5,7,83,332,0.0211,1.6067,1.25,1.1875,58,43,1.0,0.0233,0.0,0.0133,0.2857,0.0,0.98,1.0,0.0,0.9994,0.0006,0.9671,0.0329,-0.6667,1366,1,1.0,1
793,301,28,3,1,1,0.3333,2,318,2,0.3333,1,7,80,332,0.009,1.2331,0.7778,0.7685,55,34,0.8235,0.1471,0.0,0.049,0.3333,0.0,0.85,1.0,0.0,1.0,0.0,0.9938,0.0062,0.0,914,1,1.0,1
793,307,30,21,12,1,0.5714,2,2,331,1.0,0,10,70,332,0.0633,1.8006,0.2727,0.2727,96,77,0.8961,0.2078,0.0,0.0656,0.619,0.0,0.79,0.0,1.0,0.0,1.0,0.0032,0.9968,0.1,3402,1,1.0,0
793,309,30,13,8,2,0.6154,2,2,30,0.8,0,10,70,332,0.0392,1.4747,0.8148,0.8934,96,77,0.8961,0.2078,0.0,0.0559,0.8462,0.0,0.79,0.067,0.933,0.1566,0.8434,0.2045,0.7955,0.0238,1798,1,1.0,0
793,315,30,4,4,0,1.0,2,2,-1,1.0,0,17,83,332,0.012,0.9185,1.3056,1.2388,96,77,0.8961,0.2078,0.0,0.1331,1.0,0.0,0.79,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1003,1,1.0,0
793,342,36,5,1,2,0.2,2,323,2,0.2,2,5,71,332,0.0151,1.1938,1.0,1.0,71,55,0.8182,0.1818,0.0,0.0036,0.2,0.0,0.82,1.0,0.0,1.0,0.0,0.9965,0.0035,-0.5,454,1,1.0,1
793,361,38,5,3,0,0.6,2,2,-1,1.0,0,5,75,323,0.0155,1.17,0.4286,0.6572,111,101,0.8911,0.2079,0.0,0.1327,1.0,0.0,0.79,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1032,1,1.0,0
793,398,35,5,2,1,0.4,2,2,154,0.8,0,16,78,159,0.0314,1.5464,0.92,0.7741,146,124,0.7823,0.1613,0.0081,0.029,0.8,0.0,0.84,0.0,1.0,0.0025,0.9975,0.0493,0.9507,0.5,230,1,1.0,0
797,281,7,9,2,6,0.2222,4,211,4,0.0,6,7,83,336,0.0268,1.6236,1.0,1.2014,58,43,1.0,0.0233,0.0,0.0103,0.2222,0.0,0.98,1.0,0.0,0.9998,0.0002,0.9832,0.0168,-0.5,1400,1,1.0,1
797,301,28,5,1,2,0.2,4,322,4,0.2,2,7,80,336,0.0149,1.25,0.7778,0.7722,55,34,0.8235,0.1471,0.0,0.0294,0.2,0.0,0.85,1.0,0.0,1.0,0.0,0.9969,0.0031,-0.5,948,1,1.0,0
797,306,30,1,1,0,1.0,322,322,-1,1.0,0,10,70,336,0.003,0.7472,0.0625,0.8182,96,77,0.8961,0.2078,0.0,0.4416,1.0,0.0,0.79,0.0,0.0,0.0,1.0,0.0,1.0,0.0,810,1,1.0,0
797,309,30,15,9,2,0.6,4,4,34,0.8,0,10,70,336,0.0446,1.4916,0.9444,0.8829,96,77,0.8961,0.2078,0.0,0.0537,0.8667,0.0,0.79,0.0323,0.9677,0.0835,0.9165,0.1337,0.8663,0.0179,1832,1,1.0,0
797,316,30,2,2,0,1.0,320,320,-1,1.0,0,14,88,336,0.006,0.6657,0.0417,1.25,96,77,0.8961,0.2078,0.0,0.2338,1.0,0.0,0.79,0.0,0.0,0.0,1.0,0.0,1.0,0.0,890,1,1.0,0
797,342,36,7,1,3,0.1429,4,327,4,0.0,3,5,71,336,0.0208,1.2107,1.0,1.0,71,51,0.8431,0.1373,0.0,0.0028,0.1429,0.0,0.86,1.0,0.0,1.0,0.0,0.9978,0.0022,-0.3333,488,1,1.0,1
797,361,38,8,4,0,0.5,4,4,-1,1.0,0,5,75,327,0.0245,1.196,1.0,0.5715,111,95,0.9158,0.1789,0.0,0.1066,1.0,0.0,0.82,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1083,1,1.0,0
797,511,40,1,1,0,1.0,34,34,-1,1.0,0,216,73,115,0.0087,0.8444,0.1079,0.1004,106,96,0.9375,0.1667,0.0104,0.0312,1.0,0.0,0.83,0.0,1.0,0.0,1.0,0.0,1.0,0.0,66,1,1.0,0
797,637,23,1,1,0,1.0,34,34,-1,1.0,0,20,73,34,0.0294,0.6111,0.3281,1.0,64,45,0.8,0.1778,0.0222,0.0222,1.0,0.0,0.82,0.0,1.0,0.0,1.0,0.0,1.0,0.0,66,1,1.0,0
798,281,7,12,2,7,0.1667,1,212,1,0.0,7,7,83,337,0.0356,1.6236,1.0,1.151,58,43,1.0,0.0233,0.0,0.0078,0.1667,0.0,0.98,1.0,0.0,0.9999,0.0001,0.9905,0.0095,-0.3333,1865,1,1.0,1
798,291,23,14,5,3,0.3571,7,7,139,0.6,0,5,75,337,0.0415,1.7416,1.0,0.7589,64,45,0.8,0.1778,0.0,0.0413,0.5714,0.0,0.82,0.0001,0.9999,0.0108,0.9892,0.1591,0.8409,-0.2857,3159,1,1.0,0
798,301,28,7,2,2,0.2857,1,1,5,0.4,0,7,80,337,0.0208,1.25,0.7778,0.7738,55,34,0.8529,0.1471,0.0,0.0294,0.2857,0.0,0.85,0.5864,0.4136,0.6273,0.3727,0.6498,0.3502,0.1667,1258,1,1.0,1
798,309,30,17,10,2,0.5882,1,1,35,1.0,0,10,70,337,0.0504,1.4916,0.8148,0.8902,96,77,0.8961,0.2078,0.0,0.0519,0.7647,0.0,0.79,0.0192,0.9808,0.0544,0.9456,0.0978,0.9022,0.0139,2142,1,1.0,0
798,342,36,9,1,4,0.1111,1,328,1,0.0,4,5,71,337,0.0267,1.2107,1.0,1.0,71,51,0.8431,0.1373,0.0,0.0022,0.1111,0.0,0.86,1.0,0.0,1.0,0.0,0.9985,0.0015,-0.25,798,1,1.0,1
799,686,25,1,1,0,1.0,1,1,-1,1.0,0,16,78,1,1.0,0.0,0.0714,1.0,79,50,0.8,0.06,0.06,0.02,1.0,0.0,0.94,0.0,1.0,0.0,1.0,0.0,1.0,0.0,11,1,1.0,1
800,281,7,13,2,8,0.1538,2,214,2,0.0,8,7,83,339,0.0383,1.6433,1.0,1.1394,58,43,1.0,0.0233,0.0,0.0072,0.1538,0.0,0.98,1.0,0.0,0.9999,0.0001,0.9917,0.0083,-0.3333,1876,1,1.0,1
800,299,27,4,4,0,1.0,141,141,-1,1.0,0,134,75,339,0.0118,0.9382,0.1583,0.2931,71,49,0.8367,0.0612,0.4694,0.0561,1.0,0.0,0.94,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1141,1,1.0,1
800,301,28,9,2,3,0.2222,2,3,2,0.4,1,7,80,339,0.0265,1.2556,0.7778,0.7747,55,34,0.8529,0.1471,0.0,0.0229,0.2222,0.0,0.85,0.7134,0.2866,0.731,0.269,0.7412,0.2588,0.15,1280,1,1.0,0
800,307,30,23,13,1,0.5652,7,7,338,1.0,0,10,70,339,0.0678,1.8258,0.375,0.2727,96,77,0.8961,0.2078,0.0,0.0632,0.6522,0.0,0.79,0.0,1.0,0.0,1.0,0.0019,0.9981,0.0909,3436,1,1.0,0
800,309,30,18,11,2,0.6111,2,2,37,1.0,0,10,70,339,0.0531,1.5,0.9444,0.886,96,77,0.8961,0.2078,0.0,0.0498,0.7222,0.0,0.79,0.0158,0.9842,0.046,0.954,0.0861,0.9139,0.0,2153,1,1.0,0
800,342,36,11,1,5,0.0909,2,330,2,0.0,5,5,71,339,0.0324,1.2163,1.0,1.0,71,51,0.8431,0.1373,0.0,0.0018,0.0909,0.0,0.86,1.0,0.0,1.0,0.0,0.9988,0.0012,-0.2,820,1,1.0,0
800,398,35,7,3,1,0.4286,7,7,161,1.0,0,16,78,166,0.0422,1.6011,0.92,0.8158,146,120,0.7917,0.1417,0.0083,0.0333,0.8571,0.0,0.86,0.0,1.0,0.0012,0.9988,0.0269,0.9731,0.3333,264,1,1.0,0
800,433,33,1,1,0,1.0,136,136,-1,1.0,0,20,73,136,0.0074,0.8824,0.12,1.0,113,102,0.7941,0.1863,0.0,0.0588,1.0,0.0,0.81,0.0,1.0,0.0,1.0,0.0,1.0,0.0,61,1,1.0,0
800,511,40,2,2,0,1.0,3,3,-1,1.0,0,216,73,118,0.0169,0.8593,0.0978,0.1041,106,96,0.9375,0.1667,0.0104,0.0365,1.0,0.0,0.83,0.0,1.0,0.0,1.0,0.0,1.0,0.0,221,1,1.0,0
805,262,15,3,1,2,0.3333,207,362,207,0.3333,1,7,100,404,0.0074,1.7067,1.0,1.0,40,20,1.0,0.0,0.0,0.3,0.3333,0.0,1.0,1.0,0.0,0.9954,0.0046,0.9013,0.0987,0.0,214,1,1.0,1
809,281,7,16,2,9,0.125,9,223,9,0.0,9,7,83,348,0.046,1.7331,1.0,1.1133,58,43,1.0,0.0233,0.0,0.0058,0.125,0.0,0.98,1.0,0.0,0.9999,0.0001,0.9941,0.0059,-0.25,2491,1,1.0,1
809,309,30,20,12,2,0.6,9,9,46,1.0,0,10,70,348,0.0575,1.5449,0.8148,0.8918,96,77,0.8961,0.2078,0.0,0.0474,0.75,0.0,0.79,0.0112,0.9888,0.0347,0.9653,0.0691,0.9309,0.0,2563,1,1.0,0
809,315,30,5,5,0,1.0,16,16,-1,1.0,0,17,83,348,0.0144,0.9607,1.1667,1.2521,96,77,0.8961,0.2078,0.0,0.1143,1.0,0.0,0.79,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1020,1,1.0,0
809,330,30,1,1,0,1.0,334,334,-1,1.0,0,10,70,348,0.0029,0.4831,1.5294,0.7667,96,77,0.8961,0.2078,0.013,0.4416,1.0,0.0,0.79,0.0,0.0,0.0,1.0,0.0,1.0,0.0,810,1,1.0,0
809,342,36,13,2,5,0.1538,9,9,11,0.4,0,5,71,348,0.0374,1.2612,1.0,1.0,71,51,0.8431,0.1373,0.0,0.0045,0.1538,0.0,0.86,0.7443,0.2557,0.7839,0.2161,0.8113,0.1887,0.119,1230,1,1.0,1
813,396,40,1,1,0,1.0,183,183,-1,1.0,0,5,71,183,0.0055,0.9733,1.0,1.0,106,96,0.9375,0.3229,0.0104,0.0625,1.0,0.0,0.68,0.0,1.0,0.0,1.0,0.0,1.0,0.0,60,1,1.0,1
816,262,15,5,1,3,0.2,11,373,11,0.2,2,7,100,415,0.012,1.7788,1.0,1.0,40,20,1.0,0.0,0.0,0.18,0.2,0.0,1.0,1.0,0.0,1.0,0.0,0.9968,0.0032,-0.5,444,1,1.0,1
