Revision,gcid,classid,n_prior_changes,n_prior_co_changes,n_prior_independent,co_change_ratio,revs_since_last_change,revs_since_last_co_change,revs_since_last_independent,recent_co_ratio_last5,solo_events_since_last_co,nlines,similarity,file_age,change_proneness,stability_index,change_magnitude,avg_prior_change_magnitude,class_size,alive_peer_count,class_co_change_density,frac_peers_same_file,frac_peers_same_method,mean_peer_co_ratio,max_peer_co_ratio,min_peer_co_ratio,mean_peer_depth,ir_decay_h10,cs_decay_h10,ir_decay_h20,cs_decay_h20,ir_decay_h50,cs_decay_h50,coupling_trend,churn,distinct_authors,major_author_prop,label
699,206,18,5,3,2,0.6,40,224,40,0.6,2,5,75,484,0.0103,0.8688,1.0,1.0,42,22,0.9545,0.0455,0.0,0.1818,0.6,0.0,0.95,1.0,0.0,0.9983,0.0017,0.9117,0.0883,-0.6667,3659,1,1.0,1
699,300,27,5,4,1,0.8,40,40,69,0.8,0,134,75,238,0.021,0.6545,0.0068,0.3977,71,55,0.5455,0.0545,0.4545,0.0509,0.8,0.0,0.95,0.0648,0.9352,0.1568,0.8432,0.2391,0.7609,-0.3333,3263,1,1.0,0
699,345,36,3,3,0,1.0,41,41,-1,1.0,0,5,71,238,0.0126,0.7051,0.6364,0.4286,71,58,0.7931,0.1379,0.0,0.092,1.0,0.0,0.86,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1566,1,1.0,0
699,346,36,3,3,0,1.0,41,41,-1,1.0,0,5,71,238,0.0126,0.6573,0.1429,0.4286,71,58,0.7931,0.1379,0.0,0.092,1.0,0.0,0.86,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1566,1,1.0,0
699,358,34,2,2,0,1.0,224,224,-1,1.0,0,10,70,231,0.0087,0.3324,0.3846,0.921,113,98,0.7653,0.2143,0.0,0.1888,1.0,0.0,0.79,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1528,1,1.0,0
699,359,70,2,1,1,0.5,224,224,231,0.5,0,5,71,231,0.0087,0.6562,0.0909,0.9546,42,41,0.9756,0.122,0.0,0.0976,0.5,0.0,0.88,0.381,0.619,0.4396,0.5604,0.4758,0.5242,0.0,1528,1,1.0,0
699,397,40,6,4,1,0.6667,36,40,36,0.6,1,5,71,69,0.087,0.631,1.2727,1.2272,106,96,0.9062,0.3125,0.0104,0.0365,0.3333,0.0,0.69,0.5216,0.4784,0.4398,0.5602,0.3788,0.6212,-0.6667,311,1,1.0,0
700,481,32,1,1,0,1.0,13,13,-1,1.0,0,10,70,18,0.0556,0.3704,0.3636,0.3636,110,102,0.7843,0.1961,0.0098,0.0294,1.0,0.0,0.8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,14,1,1.0,0
700,483,32,1,1,0,1.0,13,13,-1,1.0,0,9,70,18,0.0556,0.6735,0.3333,0.3333,110,102,0.7745,0.1961,0.0,0.0196,1.0,0.0,0.8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,14,1,1.0,0
700,485,32,1,1,0,1.0,13,13,-1,1.0,0,10,70,18,0.0556,0.2444,0.3,0.3,110,102,0.7745,0.1961,0.0392,0.0196,1.0,0.0,0.8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,14,1,1.0,0
