pairId,cloneType,granularity,classId,clone1_gcid,clone2_gcid,clone1_addedRev,clone2_addedRev,clone1_deletedRev,clone2_deletedRev,clone1_lifespan,clone2_lifespan,co_change,gcid1_independent_change,gcid2_independent_change,similarity,filepath1,filepath2,file_distance,gcid1_authors,gcid2_authors,weighted_coupling_strength,coupling_trend,last_co_change_age,last_solo_change_age,method_name1,method_signature1,method_name2,method_signature2
18,Type1,Block,2,5,11,39,242,97,Still Active,58,574,0,0,0,100,main.c,python.c,1,darren,darren; elias; dhiebert; elliotth; dfishburn; jafl; perlguy0; vberthoux,0.0000,0.0000,-1,-1,stricmp,"extern int stricmp (const char *s1, const char *s2)",skipSpace,static const unsigned char *skipSpace (const unsigned char *cp)
19,Type1,Block,2,5,12,39,242,97,Still Active,58,574,0,0,0,100,main.c,sml.c,1,darren,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,0.0000,0.0000,-1,-1,stricmp,"extern int stricmp (const char *s1, const char *s2)",skipSpace,static const unsigned char *skipSpace (const unsigned char *cp)
20,Type1,Block,2,5,13,39,264,97,Still Active,58,552,0,0,0,100,main.c,erlang.c,1,darren,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,0.0000,0.0000,-1,-1,stricmp,"extern int stricmp (const char *s1, const char *s2)",skipSpace,static const unsigned char *skipSpace (const unsigned char *cp)
21,Type1,Block,2,5,129,39,711,97,Still Active,58,105,0,0,0,100,main.c,asp.c,1,darren,dhiebert; elias; jafl; dfishburn; elliotth; vberthoux; perlguy0,0.0000,0.0000,-1,-1,stricmp,"extern int stricmp (const char *s1, const char *s2)",findAspTags,static void findAspTags (void)
22,Type1,Block,2,5,130,39,711,97,Still Active,58,105,0,0,0,100,main.c,asp.c,1,darren,dhiebert; elias; jafl; dfishburn; elliotth; vberthoux; perlguy0,0.0000,0.0000,-1,-1,stricmp,"extern int stricmp (const char *s1, const char *s2)",findAspTags,static void findAspTags (void)
23,Type1,Block,2,6,11,39,242,Still Active,Still Active,777,574,1,0,6,100,readtags.c,python.c,1,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,darren; elias; dhiebert; elliotth; dfishburn; jafl; perlguy0; vberthoux,0.0000,-0.0381,373,39,stricmp,"static int stricmp (const char *s1, const char *s2)",skipSpace,static const unsigned char *skipSpace (const unsigned char *cp)
24,Type1,Block,2,6,12,39,242,Still Active,Still Active,777,574,1,0,0,100,readtags.c,sml.c,1,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,1.0000,-1.0000,373,653,stricmp,"static int stricmp (const char *s1, const char *s2)",skipSpace,static const unsigned char *skipSpace (const unsigned char *cp)
25,Type1,Block,2,6,13,39,264,Still Active,Still Active,777,552,1,0,0,100,readtags.c,erlang.c,1,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,1.0000,-1.0000,373,653,stricmp,"static int stricmp (const char *s1, const char *s2)",skipSpace,static const unsigned char *skipSpace (const unsigned char *cp)
26,Type1,Block,2,6,129,39,711,Still Active,Still Active,777,105,0,0,1,100,readtags.c,asp.c,1,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,dhiebert; elias; jafl; dfishburn; elliotth; vberthoux; perlguy0,0.0000,0.0000,-1,105,stricmp,"static int stricmp (const char *s1, const char *s2)",findAspTags,static void findAspTags (void)
27,Type1,Block,2,6,130,39,711,Still Active,Still Active,777,105,0,0,1,100,readtags.c,asp.c,1,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,dhiebert; elias; jafl; dfishburn; elliotth; vberthoux; perlguy0,0.0000,0.0000,-1,105,stricmp,"static int stricmp (const char *s1, const char *s2)",findAspTags,static void findAspTags (void)
28,Type1,Block,2,11,12,242,242,Still Active,Still Active,574,574,1,6,0,100,python.c,sml.c,1,darren; elias; dhiebert; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,0.0000,-0.0381,373,39,skipSpace,static const unsigned char *skipSpace (const unsigned char *cp),skipSpace,static const unsigned char *skipSpace (const unsigned char *cp)
