pairId,cloneType,granularity,classId,clone1_gcid,clone2_gcid,clone1_addedRev,clone2_addedRev,clone1_deletedRev,clone2_deletedRev,clone1_lifespan,clone2_lifespan,co_change,gcid1_independent_change,gcid2_independent_change,similarity,filepath1,filepath2,file_distance,gcid1_authors,gcid2_authors,weighted_coupling_strength,coupling_trend,last_co_change_age,last_solo_change_age,method_name1,method_signature1,method_name2,method_signature2
1,Type2,Block,1,1,2,2,2,Still Active,Still Active,814,814,1,0,0,100,args.c,args.c,0,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,1.0000,1.0000,373,-1,nextString,"static char* nextString (const Arguments* const current, const char** const next)",nextFileString,"static char* nextFileString (const Arguments* const current, FILE* const fp)"
2,Type2,Block,1,1,264,2,693,Still Active,Still Active,814,123,0,0,0,100,args.c,ant.c,1,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,dfishburn; elias; dhiebert; jafl; elliotth; vberthoux; perlguy0,0.0000,0.0000,-1,373,nextString,"static char* nextString (const Arguments* const current, const char** const next)",AntParser,extern parserDefinition* AntParser ()
3,Type2,Block,1,1,265,2,693,Still Active,Still Active,814,123,0,0,0,100,args.c,matlab.c,1,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,dfishburn; elias; dhiebert; jafl; elliotth; vberthoux; perlguy0,0.0000,0.0000,-1,373,nextString,"static char* nextString (const Arguments* const current, const char** const next)",MatLabParser,extern parserDefinition* MatLabParser ()
4,Type2,Block,1,2,264,2,693,Still Active,Still Active,814,123,0,0,0,100,args.c,ant.c,1,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,dfishburn; elias; dhiebert; jafl; elliotth; vberthoux; perlguy0,0.0000,0.0000,-1,373,nextFileString,"static char* nextFileString (const Arguments* const current, FILE* const fp)",AntParser,extern parserDefinition* AntParser ()
5,Type2,Block,1,2,265,2,693,Still Active,Still Active,814,123,0,0,0,100,args.c,matlab.c,1,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,dfishburn; elias; dhiebert; jafl; elliotth; vberthoux; perlguy0,0.0000,0.0000,-1,373,nextFileString,"static char* nextFileString (const Arguments* const current, FILE* const fp)",MatLabParser,extern parserDefinition* MatLabParser ()
6,Type2,Block,1,264,265,693,693,Still Active,Still Active,123,123,0,0,0,100,ant.c,matlab.c,1,dfishburn; elias; dhiebert; jafl; elliotth; vberthoux; perlguy0,dfishburn; elias; dhiebert; jafl; elliotth; vberthoux; perlguy0,0.0000,0.0000,-1,-1,AntParser,extern parserDefinition* AntParser (),MatLabParser,extern parserDefinition* MatLabParser ()
7,Type2,Block,2,3,4,2,2,119,18,117,16,0,0,0,100,asm.c,tcl.c,1,darren,darren,0.0000,0.0000,-1,-1,AsmParser,extern parserDefinition* AsmParser (void),TclParser,extern parserDefinition* TclParser (void)
8,Type2,Block,2,3,5,2,2,119,18,117,16,0,0,0,100,asm.c,php.c,1,darren,darren,0.0000,0.0000,-1,-1,AsmParser,extern parserDefinition* AsmParser (void),PhpParser,extern parserDefinition* PhpParser (void)
9,Type2,Block,2,3,6,2,2,119,18,117,16,0,0,0,100,asm.c,perl.c,1,darren,darren,0.0000,0.0000,-1,-1,AsmParser,extern parserDefinition* AsmParser (void),PerlParser,extern parserDefinition* PerlParser (void)
10,Type2,Block,2,3,7,2,2,119,487,117,485,0,0,0,100,asm.c,awk.c,1,darren,darren; elias; elliotth; dfishburn,0.0000,0.0000,-1,-1,AsmParser,extern parserDefinition* AsmParser (void),AwkParser,extern parserDefinition* AwkParser ()
