pairId,cloneType,granularity,classId,clone1_gcid,clone2_gcid,clone1_addedRev,clone2_addedRev,clone1_deletedRev,clone2_deletedRev,clone1_lifespan,clone2_lifespan,co_change,gcid1_independent_change,gcid2_independent_change,similarity,filepath1,filepath2,file_distance,gcid1_authors,gcid2_authors
24,Type3,Block,2,3,26,2,2,Still Active,Still Active,814,814,1,1,0,70,lisp.c,rexx.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux
25,Type3,Block,2,3,27,2,2,Still Active,Still Active,814,814,1,1,0,70,lisp.c,keyword.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux
26,Type3,Block,2,3,28,2,2,Still Active,Still Active,814,814,1,1,11,70,lisp.c,c.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elliotth; elias; dfishburn; jafl; perlguy0; dhiebert; vberthoux
27,Type3,Block,2,3,29,2,2,Still Active,Still Active,814,814,1,1,2,70,lisp.c,options.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux
28,Type3,Block,2,3,30,2,2,Still Active,Still Active,814,814,1,1,2,70,lisp.c,options.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux
29,Type3,Block,2,3,31,2,2,Still Active,Still Active,814,814,1,1,11,70,lisp.c,c.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elliotth; elias; dfishburn; jafl; perlguy0; dhiebert; vberthoux
30,Type3,Block,2,3,32,2,2,Still Active,312,814,310,0,0,3,70,lisp.c,options.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren
31,Type3,Block,2,3,243,2,43,Still Active,Still Active,814,773,1,1,0,70,lisp.c,lua.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux
32,Type3,Block,2,3,270,2,119,Still Active,147,814,28,0,0,1,70,lisp.c,asm.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren
33,Type3,Block,2,3,274,2,147,Still Active,Still Active,814,669,1,1,1,70,lisp.c,asm.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux
