gcid,classid,addedInRev,endRev,deletedInRev,lifespan,total_changes,alive_peer_count_at_end,exclusion_reason
437,4,682,816,0,135,0,14,never_changed
438,8,682,816,0,135,1,20,warmup
439,12,682,816,0,135,0,6,never_changed
440,18,682,816,0,135,0,10,never_changed
441,19,682,816,0,135,0,10,never_changed
442,20,682,816,0,135,1,11,warmup
443,21,682,816,0,135,0,19,never_changed
444,21,682,816,0,135,0,19,never_changed
445,21,682,816,0,135,0,19,never_changed
446,21,682,816,0,135,0,19,never_changed
447,22,682,816,0,135,0,31,never_changed
448,23,682,816,0,135,0,30,never_changed
449,24,682,816,0,135,0,38,never_changed
452,24,682,816,0,135,1,38,warmup
453,24,682,816,0,135,1,38,warmup
454,24,682,816,0,135,1,38,warmup
455,24,682,816,0,135,1,38,warmup
456,24,682,816,0,135,1,38,warmup
457,24,682,816,0,135,1,38,warmup
458,24,682,816,0,135,0,38,never_changed
459,24,682,816,0,135,1,38,warmup
460,24,682,816,0,135,0,38,never_changed
461,24,682,816,0,135,1,38,warmup
462,25,682,816,0,135,0,30,never_changed
463,25,682,796,797,115,0,31,never_changed
464,25,682,816,0,135,0,30,never_changed
465,26,682,754,755,73,0,31,never_changed
466,26,682,754,755,73,0,31,never_changed
467,27,682,816,0,135,0,27,never_changed
468,28,682,816,0,135,0,14,never_changed
469,29,682,816,0,135,0,43,never_changed
470,29,682,816,0,135,0,43,never_changed
471,30,682,816,0,135,0,49,never_changed
472,30,682,816,0,135,0,49,never_changed
473,31,682,816,0,135,0,49,never_changed
474,32,682,816,0,135,0,75,never_changed
475,32,682,816,0,135,0,75,never_changed
477,32,682,816,0,135,0,75,never_changed
478,32,682,816,0,135,0,75,never_changed
479,32,682,816,0,135,0,75,never_changed
480,32,682,816,0,135,0,75,never_changed
482,32,682,686,687,5,0,79,never_changed
484,32,682,816,0,135,0,75,never_changed
486,32,682,816,0,135,0,75,never_changed
487,32,682,816,0,135,0,75,never_changed
488,32,682,816,0,135,0,75,never_changed
489,32,682,816,0,135,0,75,never_changed
490,32,682,816,0,135,0,75,never_changed
491,32,682,816,0,135,0,75,never_changed
492,32,682,816,0,135,0,75,never_changed
493,33,682,816,0,135,0,73,never_changed
494,33,682,816,0,135,0,73,never_changed
495,34,682,816,0,135,0,71,never_changed
496,34,682,816,0,135,0,71,never_changed
497,35,682,796,797,115,0,100,never_changed
498,35,682,796,797,115,0,100,never_changed
499,36,682,699,700,18,0,38,never_changed
500,36,682,816,0,135,0,31,never_changed
501,36,682,816,0,135,0,31,never_changed
502,36,682,816,0,135,0,31,never_changed
503,36,682,730,731,49,0,37,never_changed
504,37,682,796,797,115,0,36,never_changed
505,37,682,796,797,115,1,36,warmup
506,38,682,816,0,135,0,68,never_changed
507,38,682,816,0,135,0,68,never_changed
508,39,682,816,0,135,0,64,never_changed
509,39,682,816,0,135,0,64,never_changed
510,40,682,816,0,135,1,74,warmup
512,41,682,816,0,135,0,66,never_changed
513,41,682,816,0,135,1,66,warmup
514,42,682,816,0,135,0,60,never_changed
515,42,682,816,0,135,0,60,never_changed
516,43,682,816,0,135,0,36,never_changed
517,44,682,816,0,135,0,35,never_changed
518,44,682,816,0,135,0,35,never_changed
519,45,682,816,0,135,0,39,never_changed
520,45,682,816,0,135,0,39,never_changed
521,46,682,730,731,49,0,40,never_changed
522,47,682,816,0,135,0,30,never_changed
523,48,682,816,0,135,0,30,never_changed
524,49,682,816,0,135,1,27,warmup
525,49,682,816,0,135,1,27,warmup
526,1,693,816,0,124,0,23,never_changed
527,1,693,816,0,124,0,23,never_changed
528,1,693,816,0,124,0,23,never_changed
529,1,693,816,0,124,0,23,never_changed
530,5,693,816,0,124,0,17,never_changed
531,12,693,784,785,92,1,8,warmup
532,18,693,816,0,124,1,10,warmup
533,19,693,816,0,124,0,10,never_changed
534,20,693,784,785,92,1,13,warmup
535,22,693,816,0,124,0,31,never_changed
536,22,693,695,696,3,1,32,warmup
538,22,693,816,0,124,0,31,never_changed
539,22,693,816,0,124,1,31,warmup
540,23,693,784,785,92,0,32,never_changed
541,24,693,816,0,124,0,38,never_changed
542,25,693,816,0,124,0,30,never_changed
543,28,693,816,0,124,0,14,never_changed
544,29,693,816,0,124,1,43,warmup
545,30,693,693,694,1,0,52,never_changed
546,30,693,693,694,1,0,52,never_changed
547,31,693,693,694,1,0,53,never_changed
548,31,693,693,694,1,0,53,never_changed
549,49,693,784,785,92,0,28,never_changed
550,62,693,816,0,124,1,33,warmup
551,97,693,696,697,4,0,18,never_changed
552,100,693,697,698,5,0,23,never_changed
553,100,693,697,698,5,1,23,warmup
554,103,693,816,0,124,0,21,never_changed
555,22,696,816,0,121,1,31,warmup
556,22,696,816,0,121,1,31,warmup
557,40,696,816,0,121,1,74,warmup
558,106,696,816,0,121,1,26,warmup
560,39,699,816,0,118,1,64,warmup
561,21,700,816,0,117,0,19,never_changed
562,34,710,816,0,107,0,71,never_changed
563,56,710,816,0,107,0,29,never_changed
564,57,710,816,0,107,0,35,never_changed
565,57,710,816,0,107,0,35,never_changed
566,58,710,816,0,107,0,31,never_changed
567,58,710,816,0,107,0,31,never_changed
568,59,710,816,0,107,0,25,never_changed
569,59,710,816,0,107,0,25,never_changed
570,60,710,816,0,107,0,26,never_changed
571,60,710,816,0,107,0,26,never_changed
572,61,710,816,0,107,0,29,never_changed
573,61,710,816,0,107,0,29,never_changed
574,61,710,816,0,107,0,29,never_changed
575,62,710,816,0,107,0,33,never_changed
576,62,710,816,0,107,0,33,never_changed
577,63,710,816,0,107,0,31,never_changed
578,63,710,816,0,107,0,31,never_changed
579,64,710,816,0,107,0,30,never_changed
580,64,710,816,0,107,0,30,never_changed
581,64,710,816,0,107,0,30,never_changed
582,65,710,816,0,107,0,30,never_changed
583,65,710,816,0,107,0,30,never_changed
584,65,710,816,0,107,0,30,never_changed
585,66,710,816,0,107,0,25,never_changed
586,66,710,816,0,107,0,25,never_changed
587,67,710,816,0,107,0,28,never_changed
588,67,710,816,0,107,0,28,never_changed
589,68,710,816,0,107,0,27,never_changed
590,68,710,816,0,107,0,27,never_changed
591,10,711,816,0,106,1,8,warmup
592,10,711,816,0,106,1,8,warmup
593,11,711,816,0,106,0,14,never_changed
594,11,711,816,0,106,1,14,warmup
595,11,711,816,0,106,0,14,never_changed
596,11,711,816,0,106,0,14,never_changed
597,11,711,816,0,106,1,14,warmup
598,11,711,816,0,106,1,14,warmup
599,11,711,816,0,106,0,14,never_changed
601,1,717,816,0,100,0,23,never_changed
602,45,717,816,0,100,0,39,never_changed
603,51,717,816,0,100,0,32,never_changed
604,51,717,816,0,100,0,32,never_changed
605,51,717,816,0,100,0,32,never_changed
606,78,717,816,0,100,0,29,never_changed
607,78,717,816,0,100,0,29,never_changed
608,78,717,816,0,100,0,29,never_changed
609,79,717,816,0,100,0,29,never_changed
610,79,717,816,0,100,0,29,never_changed
611,80,717,816,0,100,0,37,never_changed
612,80,717,816,0,100,0,37,never_changed
613,81,717,734,735,18,0,23,never_changed
615,81,717,816,0,100,0,26,never_changed
616,82,717,816,0,100,0,29,never_changed
617,82,717,816,0,100,0,29,never_changed
618,83,717,816,770,100,0,21,never_changed
619,83,717,816,770,100,0,21,never_changed
620,84,717,816,0,100,0,26,never_changed
